,IncidentDate,Borough,counts
368,2022-04-12,Bexley,3
369,2022-04-12,Brent,12
370,2022-04-12,Bromley,9
371,2022-04-12,Camden,16
372,2022-04-12,City of Westminster,38
373,2022-04-12,Croydon,12
374,2022-04-12,Ealing,8
375,2022-04-12,Enfield,9
376,2022-04-12,Greenwich,23
377,2022-04-12,Hackney,11
378,2022-04-12,Hammersmith and Fulham,5
379,2022-04-12,Haringey,14
380,2022-04-12,Harrow,4
381,2022-04-12,Havering,6
382,2022-04-12,Heathrow,9
383,2022-04-12,Hillingdon,7
384,2022-04-12,Hounslow,13
385,2022-04-12,Islington,25
386,2022-04-12,Kensington and Chelsea,5
387,2022-04-12,Kingston upon Thames,3
388,2022-04-12,Lambeth,15
389,2022-04-12,Lewisham,29
390,2022-04-12,Merton,7
391,2022-04-12,Newham,14
392,2022-04-12,Out of force,4
393,2022-04-12,Redbridge,5
394,2022-04-12,Richmond upon Thames,2
395,2022-04-12,Southwark,12
396,2022-04-12,Tower Hamlets,16
397,2022-04-12,Waltham Forest,11
398,2022-04-12,Wandsworth,5
399,2022-04-13,Barking and Dagenham,8
400,2022-04-13,Barnet,11
401,2022-04-13,Bexley,2
402,2022-04-13,Brent,18
403,2022-04-13,Bromley,17
404,2022-04-13,Camden,10
405,2022-04-13,City of Westminster,22
406,2022-04-13,Croydon,30
407,2022-04-13,Ealing,19
408,2022-04-13,Enfield,8
409,2022-04-13,Greenwich,12
410,2022-04-13,Hackney,22
411,2022-04-13,Hammersmith and Fulham,8
412,2022-04-13,Haringey,16
413,2022-04-13,Harrow,3
414,2022-04-13,Havering,2
415,2022-04-13,Heathrow,1
416,2022-04-13,Hillingdon,9
417,2022-04-13,Hounslow,12
418,2022-04-13,Islington,16
419,2022-04-13,Kensington and Chelsea,7
420,2022-04-13,Kingston upon Thames,3
421,2022-04-13,Lambeth,24
422,2022-04-13,Lewisham,7
423,2022-04-13,Merton,4
424,2022-04-13,Newham,16
425,2022-04-13,Out of force,1
426,2022-04-13,Redbridge,13
427,2022-04-13,Richmond upon Thames,4
428,2022-04-13,Southwark,14
429,2022-04-13,Sutton,7
430,2022-04-13,Tower Hamlets,20
431,2022-04-13,Waltham Forest,4
432,2022-04-13,Wandsworth,6
433,2022-04-14,Barking and Dagenham,17
434,2022-04-14,Barnet,13
435,2022-04-14,Bexley,16
436,2022-04-14,Brent,14
437,2022-04-14,Bromley,13
438,2022-04-14,Camden,19
439,2022-04-14,City of Westminster,25
440,2022-04-14,Croydon,12
